,카테고리,year,month,day
867,중식당,2024,4,17
868,중식당,2024,5,17
869,중식당,2024,5,8
870,중식당,2023,12,4
871,중식당,2023,12,20
872,중식당,2024,5,21
873,중식당,2024,1,11
874,중식당,2024,5,20
875,중식당,2024,5,31
876,중식당,2023,11,24
877,중식당,2024,4,29
878,중식당,2023,11,28
879,중식당,2024,6,27
880,중식당,2024,5,13
881,중식당,2024,5,9
882,중식당,2024,1,18
883,중식당,2024,1,8
884,중식당,2023,11,15
885,중식당,2023,11,27
886,중식당,2023,12,7
887,중식당,2024,4,16
888,중식당,2023,10,31
889,중식당,2024,4,25
890,"육류,고기요리",2024,6,1
891,"육류,고기요리",2024,4,2
892,"육류,고기요리",2024,3,27
893,"육류,고기요리",2024,3,30
894,"육류,고기요리",2024,5,17
895,"육류,고기요리",2023,11,11
896,"육류,고기요리",2023,11,1
897,"육류,고기요리",2024,2,17
898,"육류,고기요리",2023,11,24
